cv ci bv bi
5.620 11279.34 0.000 0.0
5.661 11337.94 0.000 0.0
5.721 11331.59 0.000 0.0
5.760 11363.52 0.000 0.0
5.812 11399.07 0.000 0.0
5.850 11439.48 0.000 0.0
5.908 11450.06 0.000 0.0
5.946 11486.81 0.000 0.0
5.992 11513.88 0.000 0.0
6.018 11591.25 0.000 0.0
6.067 11617.46 0.000 0.0
6.101 11647.51 0.000 0.0
6.145 11696.96 0.000 0.0
6.202 11686.83 0.000 0.0
6.229 11773.71 0.000 0.0
6.284 11760.20 0.000 0.0
6.320 11830.43 0.000 0.0
6.360 11861.85 0.000 0.0
6.400 11887.20 0.000 0.0
6.447 11925.66 0.000 0.0
6.473 11983.70 0.000 0.0
6.517 12011.05 0.000 0.0
6.566 12052.20 0.000 0.0
6.621 12057.47 0.000 0.0
6.629 12159.68 0.000 0.0
6.691 12158.54 0.000 0.0
6.714 12243.08 0.000 0.0
6.761 12264.37 0.000 0.0
6.821 12267.62 0.000 0.0
6.848 12311.81 0.000 0.0
6.922 12285.03 0.000 0.0
6.922 12402.35 0.000 0.0
6.951 12439.15 0.000 0.0
7.005 12459.64 0.000 0.0
7.031 12493.24 0.000 0.0
7.063 12519.91 0.000 0.0
7.097 12525.97 0.000 0.0
7.146 12498.96 0.000 0.0
7.151 12522.94 0.000 0.0
7.158 12519.11 0.000 0.0
7.165 12521.05 0.000 0.0
7.186 12471.14 0.000 0.0
7.191 12486.99 0.000 0.0
7.217 12443.04 0.000 0.0
7.218 12434.63 0.000 0.0
7.208 12440.64 0.000 0.0
7.194 12459.24 0.000 0.0
7.208 12434.91 0.000 0.0
7.221 12421.35 0.000 0.0
7.227 12400.12 0.000 0.0
7.204 12418.72 0.000 0.0
7.216 12432.74 0.000 0.0
7.229 12401.55 0.000 0.0
7.225 12397.48 0.000 0.0
7.218 12381.40 0.000 0.0
7.221 12409.10 0.000 0.0
7.190 12439.66 0.000 0.0
7.231 12401.78 0.000 0.0
7.230 12394.63 0.000 0.0
7.245 12381.23 0.000 0.0
7.233 12395.26 0.000 0.0
7.219 12407.96 0.000 0.0
7.218 12389.07 0.000 0.0
7.237 12399.55 0.000 0.0
7.247 12391.13 0.000 0.0
7.201 12434.74 0.000 0.0
7.232 12386.26 0.000 0.0
7.228 12409.39 0.000 0.0
winding resistance
Slope=  14.48ohms
